# timestamp tx ty tz qx qy qz qw
0.0000 0.0000 0.0000 1.8141 0.0 0.0 0.0 1.0
0.0334 -0.0303 -0.0117 1.8090 0.0 0.0 0.0 1.0
0.0668 -0.0446 -0.0241 1.8115 0.0 0.0 0.0 1.0
0.1002 -0.0570 -0.0415 1.8087 0.0 0.0 0.0 1.0
0.1336 -0.0747 -0.0626 1.8139 0.0 0.0 0.0 1.0
0.1670 -0.0954 -0.0887 1.8162 0.0 0.0 0.0 1.0
0.2004 -0.1179 -0.1174 1.8197 0.0 0.0 0.0 1.0
0.2339 -0.1396 -0.1414 1.8225 0.0 0.0 0.0 1.0
0.2673 -0.1661 -0.1698 1.8332 0.0 0.0 0.0 1.0
0.3007 -0.1903 -0.1987 1.8359 0.0 0.0 0.0 1.0
0.3341 -0.2124 -0.2286 1.8395 0.0 0.0 0.0 1.0
0.3675 -0.2327 -0.2596 1.8461 0.0 0.0 0.0 1.0
0.4009 -0.2516 -0.2916 1.8537 0.0 0.0 0.0 1.0
0.4343 -0.2706 -0.3237 1.8562 0.0 0.0 0.0 1.0
0.4677 -0.2862 -0.3607 1.8669 0.0 0.0 0.0 1.0
0.5011 -0.3050 -0.3923 1.8680 0.0 0.0 0.0 1.0
0.5345 -0.3200 -0.4316 1.8788 0.0 0.0 0.0 1.0
0.5679 -0.3345 -0.4721 1.8866 0.0 0.0 0.0 1.0
0.6013 -0.3480 -0.5142 1.8875 0.0 0.0 0.0 1.0
0.6347 -0.3601 -0.5606 1.8904 0.0 0.0 0.0 1.0
0.6682 -0.3732 -0.6015 1.8963 0.0 0.0 0.0 1.0
0.7016 -0.3915 -0.6219 1.8983 0.0 0.0 0.0 1.0
0.7350 -0.4054 -0.6559 1.9011 0.0 0.0 0.0 1.0
0.7684 -0.4195 -0.6892 1.9018 0.0 0.0 0.0 1.0
0.8018 -0.4253 -0.7478 1.9040 0.0 0.0 0.0 1.0
0.8352 -0.4365 -0.7847 1.9034 0.0 0.0 0.0 1.0
0.8686 -0.4404 -0.8442 1.9089 0.0 0.0 0.0 1.0
0.9020 -0.4525 -0.8738 1.9116 0.0 0.0 0.0 1.0
0.9354 -0.4529 -0.9387 1.9129 0.0 0.0 0.0 1.0
0.9688 -0.4532 -1.0002 1.9174 0.0 0.0 0.0 1.0
